Show,Date,Placement,Artist,Song,Total,Digital,Physical,Pre-vote,SNS,Broadcast
Show Champion,07-26-2023,2.0,Jung Kook,Seven (feat. Latto),"5,297","2,543",0,"1,835",919,0
Show Champion,07-26-2023,3.0,NewJeans,Super Shy,"4,195","3,500",502,17,176,0
Show Champion,07-26-2023,4.0,ZEROBASEONE,In Bloom,"1,860",346,8,147,26,"1,333"
Show Champion,07-26-2023,5.0,NMIXX,Party O'Clock,"1,268",68,27,20,86,"1,067"
Show Champion,07-19-2023,1.0,ZEROBASEONE,In Bloom,"6,425","1,588","1,500","1,727",277,"1,333"
Show Champion,07-19-2023,2.0,EXO,Cream Soda,"5,631","2,133","1,286","2,000",212,0
Show Champion,07-19-2023,3.0,Jung Kook,Seven (feat. Latto),"4,789","3,500",0,289,"1,000",0
Show Champion,07-19-2023,4.0,NMIXX,Party O'Clock,"4,109",286,801,174,848,"2,000"
Show Champion,07-19-2023,5.0,SHINee,HARD,"2,485","2,424",32,12,17,0
Show Champion,07-12-2023,1.0,SHINee,HARD,"6,578","3,500","1,144","1,823",111,0
Show Champion,07-12-2023,2.0,TREASURE,MOVE (T5),"4,103",0,169,"2,000","1,000",934
Show Champion,07-12-2023,3.0,BOL4,Someday (ft HaHyunSang),"3,099","3,099",0,0,0,0
Show Champion,07-12-2023,4.0,ZiA,Because You Don't Love Me,"2,517","2,510",0,0,7,0
Show Champion,07-12-2023,5.0,WEi,OVERDRIVE,"2,464",0,"1,032",44,"2,517","1,067"
Show Champion,07-05-2023,1.0,SHINee,HARD,"7,946","3,500","1,500","1,946","1,000",0
Show Champion,07-05-2023,2.0,Lim Young-woong,Grains of Sand,"5,375","3,324",0,"2,000",51,0
Show Champion,07-05-2023,3.0,WEi,OVERDRIVE,"2,888",0,816,72,0,"2,000"
Show Champion,07-05-2023,4.0,Tophyun,Only You,"2,648","2,646",0,0,2,0
Show Champion,07-05-2023,5.0,Kassy,Crush On You,"2,484","2,483",0,0,1,0
Show Champion,06-28-2023,1.0,Lim Young-woong,Grains of Sand,0,,,,,
Show Champion,06-21-2023,1.0,ATEEZ,Bouncy (K-Hot Chilli Peppers),"5,821",389,"1,500","2,000","1,000",933
Show Champion,06-21-2023,2.0,Lim Young-woong,Grains of Sand,"5,438","3,500",0,"1,861",77,0
Show Champion,06-21-2023,3.0,STRAY KIDS,S-Class,"4,405","2,431",113,"1,453",407,0
Show Champion,06-21-2023,4.0,Kassy,Crush On You,"2,916","2,915",0,,1,0
Show Champion,06-21-2023,5.0,BTS,Take Two,"2,662","2,182",0,480,,0
Show Champion,06-14-2023,1.0,STRAY KIDS,S-Class,"5,149",649,"1,500","2,000","1,000",0
Show Champion,06-14-2023,2.0,(G)I-DLE,Queencard,"3,941","3,500",11,4,426,0
Show Champion,06-14-2023,3.0,Lim Young-woong,Grains of Sand,"2,955",932,0,"1,910",113,0
Show Champion,06-14-2023,4.0,P1Harmony,JUMP,"2,128",0,199,8,855,"1,066"
Show Champion,06-14-2023,5.0,fromis_9,#menow,"2,121",117,95,180,663,"1,066"
Show Champion,06-07-2023,1.0,STRAY KIDS,S-Class,"4,790",290,"1,500","2,000","1,000",0
Show Champion,06-07-2023,2.0,(G)I-DLE,Queencard,"4,183","3,500",12,93,578,0
Show Champion,06-07-2023,3.0,aespa,Spicy,"3,104","2,958",0,4,142,0
Show Champion,06-07-2023,4.0,Secret Number,DOXA,"2,056",64,0,626,32,"1,334"
Show Champion,06-07-2023,5.0,CIX,"Save me, Kill me","1,637",42,67,38,422,"1,068"
Show Champion,05-31-2023,1.0,Dreamcatcher,BONVOYAGE,"4,732",46,62,"2,000",624,"2,000"
Show Champion,05-31-2023,2.0,(G)I-DLE,Queencard,"4,662","3,500",38,124,"1,000",0
Show Champion,05-31-2023,3.0,aespa,Spicy,"3,740","3,442",67,8,223,0
Show Champion,05-31-2023,4.0,ENHYPEN,Bite Me,"3,576",208,"1,500","1,004",864,0
Show Champion,05-31-2023,5.0,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"2,916","2,749",27,5,135,0
Show Champion,05-24-2023,1.0,(G)I-DLE,Queencard,"9,141",,,,,
Show Champion,05-10-2023,1.0,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"7,521",,,,,
Show Champion,05-03-2023,1.0,SEVENTEEN,Super,"5,706",,,,,
Show Champion,04-26-2023,1.0,Jisoo,Flower,"4,870",,,,,
Show Champion,04-19-2023,1.0,IVE,I Am,"6,607",,,,,
Show Champion,04-12-2023,1.0,Jisoo,Flower,"7,058",,,,,
Show Champion,04-05-2023,1.0,Jisoo,Flower,"6,990",,,,,
Show Champion,03-29-2023,1.0,NMIXX,Love Me Like This,"9,176",,,,,
Show Champion,03-22-2023,1.0,Twice,Set Me Free,"5,120",,,,,
Show Champion,03-08-2023,1.0,STAYC,Teddy Bear,"6,083",,,,,
Show Champion,03-01-2023,1.0,THE BOYZ,Roar,"4,839",,,,,
Show Champion,02-22-2023,1.0,STAYC,Teddy Bear,"6,240",,,,,
Show Champion,02-15-2023,1.0,BSS,Fighting,"5,963",,,,,
Show Champion,02-08-2023,1.0,NCT 127,Ay-Yo,"4,751",,,,,
Show Champion,01-19-2023,1.0,ITZY,UNTOUCHABLE,"10,679",197,"3,984","1,697","4,768",33
Show Champion,01-19-2023,2.0,SF9,BIBORA,"3,877",15,"2,946",0,915,1
Show Champion,12-04-2024,1.0,WayV,FREQUENCY,"4,859",483,"1,156","2,000",153,"1,067"
Show Champion,12-04-2024,2.0,TWS,Last Festival,"3,985",202,"1,500",878,472,933
Show Champion,12-04-2024,3.0,Hwang Kagam,I'm Firefly,"3,903","3,500",0,3,0,400
Show Champion,12-04-2024,4.0,IRENE,Like A Flower,"2,140",266,949,887,38,0
Show Champion,12-04-2024,5.0,izna,IZNA,"1,995",97,823,75,"1,000",0
Show Champion,11-20-2024,1.0,NCT DREAM,When I'm With You,"7,169","3,281","1,500","2,000",388,0
Show Champion,11-20-2024,2.0,ENHYPEN,No Doubt,"5,218","1,317","1,266","1,635","1,000",0
Show Champion,11-20-2024,3.0,BABYMONSTER,DRIP,"4,510","3,500",9,26,975,0
Show Champion,11-20-2024,4.0,ATEEZ,Ice On My Teeth,"3,207","1,206",636,671,694,0
Show Champion,11-20-2024,5.0,TOMORROW X TOGETHER,Over The Moon,"2,120","1,497",31,116,476,0
Show Champion,11-13-2024,1.0,TOMORROW X TOGETHER,Over The Moon,"4,992",492,"1,500","2,000","1,000",0
Show Champion,11-13-2024,2.0,aespa,Whiplash,"3,779","3,500",10,56,213,0
Show Champion,11-13-2024,3.0,Kep1er,TIPI-TAP,"2,623",0,119,126,378,"2,000"
Show Champion,11-13-2024,4.0,EPEX,UNIVERSE,"1,954",75,216,50,546,"1,067"
Show Champion,11-13-2024,5.0,BABYMONSTER,DRIP,"1,944",423,516,31,974,0
Show Champion,11-06-2024,1.0,THE BOYZ,TRIGGER,"4,878",531,"1,500","1,847","1,000",0
Show Champion,11-06-2024,2.0,JENNIE,Mantra,"4,590","2,590",0,"2,000",0,0
Show Champion,11-06-2024,3.0,aespa,Whiplash,"4,013","3,500",97,177,239,0
Show Champion,11-06-2024,4.0,ILLIT,Cherish (My Love),"2,186",816,39,333,65,933
Show Champion,11-06-2024,5.0,tripleS,Hit the Floor,"1,805",0,91,35,612,"1,067"
Show Champion,10-30-2024,1.0,aespa,Whiplash,"6,243","3,131","1,500",612,"1,000",0
Show Champion,10-30-2024,2.0,JENNIE,Mantra,"3,775","3,500",0,275,0,0
Show Champion,10-30-2024,3.0,SEVENTEEN,"LOVE, MONEY, FAME","3,242","1,081",81,"2,000",80,0
Show Champion,10-30-2024,4.0,ILLIT,Cherish (My Love),"2,167",879,628,239,421,0
Show Champion,10-30-2024,5.0,tripleS,Hit the Floor,"2,027",0,572,140,248,"1,067"
Show Champion,10-23-2024,1.0,SEVENTEEN,"LOVE, MONEY, FAME","6,448","1,948","1,500","2,000","1,000",0
Show Champion,10-23-2024,2.0,JENNIE,Mantra,"3,682","3,500",0,182,0,0
Show Champion,10-23-2024,3.0,Xdinary Heroes,Night before the end,"2,444",0,21,191,232,"2,000"
Show Champion,10-23-2024,4.0,KISS OF LIFE,Get Loud,"1,672",327,41,14,224,"1,067"
Show Champion,10-23-2024,5.0,Billlie,remembrance candy,"1,286",0,16,16,188,"1,067"
