Show,Date,Artist,Song,Total,Placement,file_path,vggish_dance,vggish_party,vggish_happy,vggish_sad,effnet_party,effnet_happy,effnet_sad,effnet_approachability,effnet_engagement,effnet_timbre_bright,tempo
Show Champion,2024-10-09,NCT WISH,Steady,3405,3,data/audio/steady_nct_wish.flac,93.12456250190735,21.767747402191162,74.68698024749756,74.36196208000183,6.550370156764984,58.25172662734985,86.19308471679688,83.69647264480591,94.80049014091492,51.47167444229126,131.0
Show Champion,2024-10-09,YENA,NEMONEMO,2550,4,data/audio/nemonemo_yena.flac,96.95150852203369,9.931625425815582,84.58005785942078,94.04584765434265,0.44162613339722157,56.89966678619385,97.52999544143677,54.58915829658508,98.29131364822388,47.001200914382935,138.0
Show Champion,2024-10-09,FIFTY FIFTY,SOS,1418,5,data/audio/sos_fifty_fifty.flac,89.0393316745758,29.347646236419678,63.70658278465271,71.83483839035034,11.171551793813705,38.8467013835907,84.28990840911865,75.21050572395325,86.15063428878784,51.396751403808594,124.0
M Countdown,2024-10-10,QWER,My Name Is Malgeum,6118,1,data/audio/my_name_is_malgeum_qwer.flac,86.09288334846497,27.166080474853516,82.40220546722412,77.48443484306335,4.230938106775284,73.64324927330017,88.71828317642212,95.24104595184326,97.73500561714172,52.1975576877594,148.0
M Countdown,2024-10-10,YEONJUN,GGUM,6108,2,data/audio/ggum_yeonjun.flac,97.69421815872192,11.247105896472931,62.1809720993042,76.0409414768219,3.2917749136686325,60.59637665748596,92.72482991218567,76.97368264198303,97.84188270568848,50.26789903640747,129.0
Music Bank,2024-10-11,VANNER,Automatic,6788,1,data/audio/automatic_vanner.flac,95.55613398551941,10.840784013271332,77.88426876068115,86.20212078094482,4.292050376534462,37.56251335144043,92.24864840507507,80.76054453849792,94.45391297340393,53.13659310340881,120.0
Music Bank,2024-10-11,NCT WISH,Steady,5531,2,data/audio/steady_nct_wish.flac,93.12456250190735,21.767747402191162,74.68698024749756,74.36196208000183,6.550370156764984,58.25172662734985,86.19308471679688,83.69647264480591,94.80049014091492,51.47167444229126,131.0
Music Bank,2024-10-11,YENA,NEMONEMO,3146,3,data/audio/nemonemo_yena.flac,96.95150852203369,9.931625425815582,84.58005785942078,94.04584765434265,0.44162613339722157,56.89966678619385,97.52999544143677,54.58915829658508,98.29131364822388,47.001200914382935,138.0
Show! Music Core,2024-10-12,QWER,My Name Is Malgeum,7671,1,data/audio/my_name_is_malgeum_qwer.flac,86.09288334846497,27.166080474853516,82.40220546722412,77.48443484306335,4.230938106775284,73.64324927330017,88.71828317642212,95.24104595184326,97.73500561714172,52.1975576877594,148.0
Show! Music Core,2024-10-12,fromis_9,Supersonic,6333,2,data/audio/supersonic_fromis_9.flac,88.15410137176514,25.94400942325592,65.83783030509949,73.02890419960022,7.381906360387802,61.98264956474304,89.7265374660492,79.02172803878784,92.75169968605042,50.28809905052185,140.0
Show! Music Core,2024-10-12,YENA,NEMONEMO,3768,3,data/audio/nemonemo_yena.flac,96.95150852203369,9.931625425815582,84.58005785942078,94.04584765434265,0.44162613339722157,56.89966678619385,97.52999544143677,54.58915829658508,98.29131364822388,47.001200914382935,138.0
M Countdown,2024-10-17,JENNIE,Mantra,7894,1,data/audio/mantra_jennie.flac,96.0691511631012,16.936762630939484,73.08979630470276,76.0028600692749,3.2521624118089676,56.337153911590576,92.79630780220032,79.22399044036865,96.02184295654297,49.88796412944794,117.0
M Countdown,2024-10-17,aespa,Up (KARINA),5764,2,data/audio/up_(karina)_aespa.flac,93.69642734527588,23.724578320980072,65.99994897842407,67.09448099136353,5.351012572646141,35.14149487018585,79.38370108604431,90.41796326637268,89.62451815605164,49.49747025966644,99.0
Music Bank,2024-10-18,The Wind,"Hello, My First Love",5556,1,"data/audio/hello,_my_first_love_the_wind.flac",82.15393424034119,34.586238861083984,72.26198315620422,63.1386935710907,10.601725429296494,47.42844104766846,81.94394111633301,93.30407977104187,96.01075649261475,51.469582319259644,138.0
Music Bank,2024-10-18,QWER,My Name Is Malgeum,4381,2,data/audio/my_name_is_malgeum_qwer.flac,86.09288334846497,27.166080474853516,82.40220546722412,77.48443484306335,4.230938106775284,73.64324927330017,88.71828317642212,95.24104595184326,97.73500561714172,52.1975576877594,148.0
Show! Music Core,2024-10-19,aespa,Up (KARINA),6698,1,data/audio/up_(karina)_aespa.flac,93.69642734527588,23.724578320980072,65.99994897842407,67.09448099136353,5.351012572646141,35.14149487018585,79.38370108604431,90.41796326637268,89.62451815605164,49.49747025966644,99.0
Show! Music Core,2024-10-19,QWER,My Name Is Malgeum,6439,2,data/audio/my_name_is_malgeum_qwer.flac,86.09288334846497,27.166080474853516,82.40220546722412,77.48443484306335,4.230938106775284,73.64324927330017,88.71828317642212,95.24104595184326,97.73500561714172,52.1975576877594,148.0
Show! Music Core,2024-10-19,AB6IX,NVKED,3562,3,data/audio/nvked_ab6ix.flac,93.83024573326111,15.319477021694183,82.16214776039124,80.05822896957397,1.0967773385345936,37.874194979667664,87.92564272880554,93.59238743782043,94.46666836738586,52.555298805236816,118.0
Show Champion,2024-10-23,SEVENTEEN,"LOVE, MONEY, FAME",6448,1,"data/audio/love,_money,_fame_seventeen.flac",98.58455061912537,12.329687923192978,64.44976925849915,74.12801384925842,2.145124599337578,76.69653296470642,91.4984405040741,97.65855669975281,98.01552295684814,55.88098168373108,100.0
Show Champion,2024-10-23,JENNIE,Mantra,3682,2,data/audio/mantra_jennie.flac,96.0691511631012,16.936762630939484,73.08979630470276,76.0028600692749,3.2521624118089676,56.337153911590576,92.79630780220032,79.22399044036865,96.02184295654297,49.88796412944794,117.0
