Show,Date,Placement,Artist,Song,Total,Digital sales,Broadcast,Voting,Physical album,Video views
Music Bank,07-28-2023,1.0,NCT DREAM,ISTJ,"11,841",910,"2,904","2,000","5,982",45.0
Music Bank,07-28-2023,2.0,NewJeans,Super Shy,"8,701","3,639","1,515",29,"3,111",407.0
Music Bank,07-21-2023,1.0,EXO,Cream Soda,"7,269",555,"2,715",0,"3,935",64.0
Music Bank,07-21-2023,2.0,ZEROBASEONE,In Bloom,"6,368",471,"1,283","2,000","2,610",4.0
Music Bank,07-14-2023,1.0,(G)I-DLE,Queencard,"5,154","2,986",23,535,"1,404",206.0
Music Bank,07-14-2023,2.0,SHINee,HARD,"4,556",604,"1,030","2,000",891,31.0
Music Bank,07-07-2023,1.0,SHINee,HARD,"6,453",621,"2,764","2,000","1,052",16.0
Music Bank,07-07-2023,2.0,SEVENTEEN,World,"4,175","1,317",0,"1,113","1,702",43.0
Music Bank,06-30-2023,1.0,ATEEZ,Bouncy (K-Hot Chilli Peppers),"7,410",7,"3,376","2,000","1,959",68.0
Music Bank,06-30-2023,2.0,SEVENTEEN,Super,"5,098","1,402",15,"1,702","1,939",40.0
Music Bank,06-23-2023,1.0,ATEEZ,Bouncy (K-Hot Chilli Peppers),"11,624",10,"3,423","2,000","6,178",13.0
Music Bank,06-23-2023,2.0,STRAY KIDS,S-Class,"4,036",551,"1,692",585,"1,065",143.0
Music Bank,06-16-2023,1.0,STRAY KIDS,S-Class,"8,333",618,"2,822","1,676","3,105",112.0
Music Bank,06-16-2023,2.0,Taeyoung,SHALALA,"6,053",44,"2,220","1,663","2,118",8.0
Music Bank,06-09-2023,1.0,STRAY KIDS,S-Class,"13,481",175,"3,388","2,000","7,853",65.0
Music Bank,06-09-2023,2.0,(G)I-DLE,Queencard,"5,037","3,733",976,7,55,266.0
Music Bank,06-02-2023,1.0,ENHYPEN,Bite Me,"12,595",25,"3,790","1,995","6,741",44.0
Music Bank,06-02-2023,2.0,(G)I-DLE,Queencard,"5,909","3,218","2,122",14,277,278.0
Music Bank,05-26-2023,1.0,(G)I-DLE,Queencard,"10,487",,,,,
Music Bank,05-19-2023,1.0,aespa,Spicy,"11,842",,,,,
Music Bank,05-19-2023,2.0,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"7,313",,,,,
Music Bank,05-12-2023,1.0,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"13,498","2,555","3,553",555,"6,753",82.0
