Show,Date,Placement,Artist,Song,Total,Digital (CIRCLE),Album (CIRCLE),SNS (YouTube),Broadcast,V.Committee,Global Pre-Vote,Text Live Vote,App Live Vote
Show! Music Core,06-03-2023,3.,aespa,Spicy,"6,064","4,650",77,223,187,500,240,114,73
Show! Music Core,05-27-2023,1.,i-dle,Queencard,"7,757",,,,,,,,
Show! Music Core,05-20-2023,1.,aespa,Spicy,"7,511",,,,,,,,
Show! Music Core,05-20-2023,2.,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"5,887",,,,,,,,
Show! Music Core,05-13-2023,1.,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"7,172",,,,,,,,
Show! Music Core,05-06-2023,1.,SEVENTEEN,Super,"7,805",,,,,,,,
Show! Music Core,04-29-2023,1.,NCT DoJaeJung,Perfume,"6,600",,,,,,,,
Show! Music Core,04-22-2023,1.,IVE,I Am,"9,668",,,,,,,,
Show! Music Core,04-15-2023,1.,Jisoo,Flower,"7,521",,,,,,,,
Show! Music Core,04-08-2023,1.,IVE,Kitsch,"7,654",,,,,,,,
Show! Music Core,03-25-2023,1.,Kai,Rover,"5,952",,,,,,,,
Show! Music Core,03-18-2023,1.,ONEW,O (Circle),"6,590",,,,,,,,
Show! Music Core,03-11-2023,1.,STAYC,Teddy Bear,"7,514",,,,,,,,
Show! Music Core,03-04-2023,1.,THE BOYZ,Roar,"9,401",,,,,,,,
Show! Music Core,02-25-2023,1.,BSS,Fighting,"5,809",,,,,,,,
Show! Music Core,02-18-2023,1.,BSS,Fighting,"7,474",,,,,,,,
Show! Music Core,02-11-2023,1.,NCT 127,Ay-Yo,"8,979",,,,,,,,
Show! Music Core,02-04-2023,1.,NewJeans,Ditto,"5,690",,,,,,,,
Show! Music Core,01-28-2023,1.,NewJeans,Ditto,"6,758",,,,,,,,
Show! Music Core,01-14-2023,1.,NewJeans,Ditto,"7,002",,,,,,,,
Show! Music Core,01-07-2023,1.,NewJeans,Ditto,"5,843",,,,,,,,
