Show,Date,Placement,Artist,Song,Total,Digital (CIRCLE),Album (CIRCLE),SNS (YouTube),Broadcast,V.Committee,Global Pre-Vote,Text Live Vote,App Live Vote
Show! Music Core,08-05-2023,3.0,Oh My Girl,Summer Comes,"3,273","1,097",26,932,793,137.0,200.0,75.0,13.0
Show! Music Core,07-29-2023,1.0,NCT DREAM,ISTJ,"9,420","5,000","1,000","1,000",420,500.0,500.0,500.0,500.0
Show! Music Core,07-29-2023,2.0,NewJeans,Super Shy,"5,985","4,723",520,176,150,128.0,260.0,23.0,5.0
Show! Music Core,07-29-2023,3.0,Jung Kook,Seven (feat. Latto),"5,840","3,675",0,919,300,113.0,450.0,188.0,195.0
Show! Music Core,07-22-2023,1.0,NewJeans,Super Shy,"6,078","5,000",,211,300,148.0,350.0,62.0,7.0
Show! Music Core,07-22-2023,2.0,EXO,Cream Soda,"5,767","2,174","1,000",212,381,500.0,500.0,500.0,500.0
Show! Music Core,07-22-2023,3.0,Jung Kook,Seven (feat. Latto),"5,222","3,080",,"1,000",,108.0,400.0,458.0,176.0
Show! Music Core,07-15-2023,1.0,Lim Young-woong,Grains of Sand,"6,691","5,000",,35,75,81.0,500.0,500.0,500.0
Show! Music Core,07-15-2023,2.0,NewJeans,Super Shy,"4,313","3,187",,613,,227.0,260.0,24.0,2.0
Show! Music Core,07-15-2023,3.0,SHINee,HARD,"4,288","1,368",909,54,899,466.0,450.0,91.0,51.0
Show! Music Core,07-08-2023,1.0,SHINee,HARD,"9,196","4,382","1,000","1,000","1,000",500.0,500.0,500.0,314.0
Show! Music Core,07-08-2023,2.0,aespa,Spicy,"5,408","5,000",85,106,32,119.0,60.0,5.0,1.0
Show! Music Core,07-08-2023,3.0,Lim Young-woong,Grains of Sand,"5,015","3,687",,51,100,69.0,260.0,348.0,500.0
Show! Music Core,07-01-2023,1.0,(G)I-DLE,Queencard,"7,504","5,000",23,809,300,232.0,140.0,500.0,500.0
Show! Music Core,07-01-2023,2.0,aespa,Spicy,"5,015","3,755",77,214,400,426.0,40.0,87.0,16.0
Show! Music Core,07-01-2023,3.0,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"4,534","3,831",,214,65,209.0,,187.0,28.0
Show! Music Core,06-24-2023,1.0,(G)I-DLE,Queencard,"6,369","5,000",24,522,74,182.0,400.0,82.0,85.0
Show! Music Core,06-24-2023,2.0,ATEEZ,Bouncy (K-Hot Chilli Peppers),"5,643","1,799","1,000","1,000",37,357.0,450.0,500.0,500.0
Show! Music Core,06-24-2023,3.0,aespa,Spicy,"4,499","3,729",0,122,111,376.0,120.0,37.0,4.0
Show! Music Core,06-17-2023,1.0,Lim Young-woong,Grains of Sand,"6,519","5,000",,113,171,85.0,450.0,500.0,200.0
Show! Music Core,06-17-2023,2.0,STRAY KIDS,S-Class,"5,153",948,"1,000","1,000",557,500.0,500.0,148.0,500.0
Show! Music Core,06-17-2023,3.0,(G)I-DLE,Queencard,"4,891","3,613",17,427,427,134.0,260.0,12.0,1.0
Show! Music Core,06-10-2023,1.0,(G)I-DLE,Queencard,"6,460","5,000",7,580,255,138.0,400.0,50.0,50.0
Show! Music Core,06-10-2023,2.0,STRAY KIDS,S-Class,"5,808","1,108","1,000","1,000",700,500.0,500.0,500.0,500.0
Show! Music Core,06-10-2023,3.0,IVE,I Am,"5,612","4,567",1,265,299,151.0,280.0,44.0,5.0
Show! Music Core,06-03-2023,1.0,(G)I-DLE,Queencard,"8,133","4,795",42,"1,000",600,346.0,350.0,500.0,500.0
Show! Music Core,06-03-2023,2.0,IVE,I Am,"6,344","5,000",2,247,225,229.0,260.0,270.0,111.0
Show! Music Core,06-03-2023,3.0,aespa,Spicy,"6,064","4,650",77,223,187,500.0,240.0,114.0,73.0
Show! Music Core,05-27-2023,1.0,(G)I-DLE,Queencard,"7,757",,,,,,,,
