genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,girl_group
Pop,ATEEZ,"HALA HALA (Hearts Awakened, Live Alive)",4v2BLMhWtVvBnZwuoiKxja,67,0.0153,0.572,202098,0.778,0.0,A,0.188,-4.178,Minor,0.189,159.904,4/4,0.294,False
Pop,BTS,MIC Drop,2SYa5Lx1uoCvyDIW4oee9b,67,0.00912,0.667,238193,0.889,0.0,F#,0.0816,-4.851,Major,0.0918,169.959,4/4,0.541,False
Pop,BLACKPINK,Really,5qA5DAR5xTjQUGrl0eBbmR,65,0.0234,0.695,197789,0.881,0.0,C#,0.277,-2.082,Major,0.104,142.018,4/4,0.947,True
Pop,BTS,Dimple,0DrxFkuc1mpxdbUbssLQ4d,67,0.142,0.612,196776,0.844,0.0,F,0.287,-4.694,Minor,0.0756,134.868,4/4,0.653,False
Pop,ATEEZ,Pirate King,5Jl2i6LR3Socm4TYqRzZw3,66,0.0427,0.507,195990,0.946,3.54e-06,D#,0.344,-3.845,Minor,0.124,173.004,4/4,0.494,False
Pop,BTS,No More Dream,4frlkLwlnm58ejpNwWjxyl,66,0.0124,0.436,221593,0.869,1.6e-06,D,0.494,-5.174,Major,0.472,167.766,4/4,0.612,False
Pop,BTS,Stigma,626lrZfNIlthgrUfjvRYrh,65,0.148,0.583,216063,0.475,0.0,C,0.139,-5.556,Minor,0.0846,136.034,4/4,0.332,False
Pop,BTS,Outro: Wings,1yEzWCIc2MUt9Fw1p25YUo,65,0.00503,0.654,225447,0.903,0.0,B,0.0875,-3.117,Minor,0.121,124.988,4/4,0.659,False
Pop,BTS,dimple,3ryjLm3oupIjJFGc39naNi,65,0.142,0.612,196776,0.844,0.0,F,0.287,-4.694,Minor,0.0756,134.868,4/4,0.653,False
Pop,SEVENTEEN,Oh My!,4JViGq60SvqtQXI3WK0OLS,67,0.245,0.682,195005,0.888,0.0,F,0.0552,-3.25,Minor,0.267,91.966,4/4,0.903,False
Pop,BTS,Boy in Luv,0i0hqOQdyFFd4cR5s32w8x,66,0.00262,0.491,230778,0.947,0.0,C,0.34,-2.252,Major,0.306,166.247,4/4,0.473,False
Pop,DREAMCATCHER,PIRI,6vHyPhg8fgclBiY8QN68wp,68,0.18,0.507,206819,0.869,0.0,D,0.474,-2.245,Minor,0.0594,170.043,4/4,0.507,True
Pop,BTS,Epilogue: Young Forever,43hiD0QEeUysuWqDzd8GwA,65,0.04,0.606,171803,0.815,0.0,F,0.119,-3.818,Minor,0.231,88.062,4/4,0.386,False
Pop,SEVENTEEN,Getting Closer,1w7Xbv3It3oI7dz4OrKazn,67,0.0416,0.64,183580,0.932,0.0,B,0.101,-4.138,Minor,0.123,159.92,4/4,0.2,False
Pop,BTS,War of Hormone,3D26URfsMlCNaa51mj9jOt,65,0.116,0.612,265602,0.993,0.0,A,0.307,-1.895,Major,0.24,98.004,4/4,0.487,False
Pop,BLACKPINK,See U Later,1ZPMLCzCwIvLbMFWvYiw4H,64,0.0376,0.741,198867,0.926,0.0,A,0.582,-3.968,Minor,0.112,106.99,4/4,0.571,True
Pop,BTS,Just One Day,4ZSLc2F15wKVPjyLt169tt,64,0.175,0.504,239470,0.712,0.0,A,0.377,-4.705,Major,0.379,189.577,4/4,0.307,False
Pop,BLACKPINK,STAY,4TWHREp4wv0TmewqR6rgRd,70,0.569,0.628,230400,0.433,7.71e-06,C#,0.104,-6.808,Major,0.0383,88.074,4/4,0.343,True
Pop,SEVENTEEN,CLAP,19t5GSN3XsLB7UOsZD8Fwv,67,0.141,0.722,167797,0.918,0.0,G#,0.409,-2.952,Major,0.0607,100.024,4/4,0.831,False
Pop,BTS,We Are Bulletproof Pt.2,2Kspa0jD2MSkaEdonf4Cnb,65,0.00945,0.754,225360,0.952,6.27e-06,G#,0.189,-5.11,Minor,0.153,144.051,4/4,0.868,False
Pop,BTS,Awake,0UDCfleTgwihlnOUxbzokR,64,0.023,0.357,226161,0.498,1.99e-06,D#,0.269,-6.589,Major,0.0332,142.816,4/4,0.339,False
Pop,BTS,Begin,6KQSeSPqBa15gMWLO1fdkk,64,0.00361,0.566,229740,0.844,0.000257,A,0.141,-5.222,Minor,0.0444,131.049,4/4,0.291,False
Pop,SEVENTEEN,THANKS,7cbZIBLhfD9taMBgEsIhIp,66,0.0631,0.513,213072,0.867,0.0,G#,0.34,-3.729,Major,0.0632,149.967,4/4,0.536,False
Pop,BTS,Intro: Boy Meets Evil,62c60jSWnJWI4EImxeNeSW,63,0.0212,0.573,121771,0.89,0.0,F,0.132,-3.53,Minor,0.214,130.254,4/4,0.242,False
Pop,Red Velvet,Dumb Dumb,64iDjAuWDogVhuoWhKklF9,65,0.0334,0.778,202543,0.789,2.05e-06,G,0.225,-4.297,Minor,0.0503,145.99,4/4,0.799,True
Pop,SEVENTEEN,VERY NICE,1Rrj7KyS2R6SP9CQMDJW1w,65,0.0526,0.746,192093,0.898,0.0,D#,0.0858,-2.818,Minor,0.0725,121.967,4/4,0.879,False
Pop,BTS,Boyz with Fun,1pePqg6hTMeaTZNNECqT03,63,0.0808,0.704,244156,0.959,0.0,C#,0.383,-2.607,Minor,0.192,116.024,4/4,0.751,False
Pop,ATEEZ,Treasure,0SDUepNAC5xZPkIEb6Kpce,63,0.0827,0.657,220846,0.866,0.0,F#,0.081,-3.464,Minor,0.0704,133.966,4/4,0.654,False
Pop,BTS,BTS Cypher Pt.3: Killer,2kyht6yYIHLianPBFxx7Mt,63,0.0217,0.793,267783,0.924,0.0,E,0.644,-3.017,Minor,0.321,140.03,4/4,0.665,False
Pop,BTS,Her,3HhVmd5y8BI1s2R4z9rQKW,63,0.317,0.481,228613,0.927,0.0,D#,0.0583,-5.704,Major,0.27,88.931,4/4,0.448,False
Pop,BTS,Crystal Snow,6NbfFVZ01Ttvvqmcok8DxL,64,0.117,0.618,323360,0.766,0.0,D#,0.121,-4.507,Major,0.0323,113.997,4/4,0.448,False
Pop,BTS,Lost,44F7Ieb36A6B2mXgrJLdR9,62,0.000371,0.547,241787,0.84,0.0,A,0.0562,-4.156,Minor,0.0551,85.001,4/4,0.479,False
Pop,Red Velvet,Russian Roulette,7puC9LjNg0ItpjTz28yeaY,63,0.00909,0.706,211213,0.902,0.00137,G,0.17,-2.543,Minor,0.0352,130.024,4/4,0.964,True
Pop,BTS,Let Me Know,5eM0WUGlosevLM5sA6UsWd,62,0.0116,0.614,254973,0.828,0.0,B,0.0961,-4.84,Minor,0.0815,136.1,4/4,0.16,False
Pop,Red Velvet,Bad Boy - (English Version) [Bonus Track],78HD9IN4cKE1MMHWeVJPWh,63,0.21,0.723,208667,0.726,0.0,D,0.061,-4.512,Major,0.043,150.011,4/4,0.839,True
Pop,GFRIEND,Sunrise,1e7eOq89QU6vGYCJp9yW2L,67,0.428,0.453,216488,0.849,0.0,F#,0.1,-1.337,Minor,0.125,173.917,4/4,0.638,True
Pop,BTS,FAKE LOVE (Rocking Vibe Mix),3cn6cFQYrUBkKOX8kQ6oiN,63,0.0573,0.463,238494,0.804,0.0,D,0.432,-4.009,Minor,0.0391,154.913,4/4,0.352,False
Pop,BTS,Coffee,5IYnriBBJz1iz1ki3bJnWo,62,0.00862,0.656,260433,0.798,0.0,C,0.321,-6.608,Major,0.103,92.03,4/4,0.572,False
Pop,BTS,2! 3!,0ma7lbs8BsVIv2kSaqOsDI,62,0.0254,0.439,272537,0.928,0.0,G,0.1,-4.096,Major,0.233,169.928,4/4,0.599,False
Pop,BTS,MAMA,5U1XqpEGLeDd48dDFNqQEC,62,0.000226,0.544,212275,0.739,2.14e-05,F,0.0816,-4.818,Minor,0.232,185.81,4/4,0.467,False
Pop,BTS,Like,1HQHuPpr2s2z3VIBTLtUmv,62,0.271,0.582,231883,0.726,0.0,C,0.227,-4.174,Minor,0.116,100.45,4/4,0.768,False
Pop,BTS,Hold Me Tight,08eReCl8B3bV1GA247IGc2,61,0.0511,0.631,274992,0.728,0.0,F#,0.171,-5.111,Major,0.284,139.977,4/4,0.395,False
Pop,BTS,Attack on Bangtan,2BNuFV7ROaRHu2j3N6k729,62,0.202,0.719,246526,0.962,0.0,B,0.165,-2.555,Minor,0.265,117.999,4/4,0.669,False
Pop,BTS,Love Is Not Over (Full Length Edition),3p5PbT7QMSQpTG5X1qUqk1,61,0.124,0.462,221620,0.577,0.0,D,0.127,-5.089,Major,0.0846,102.972,4/4,0.278,False
Pop,BTS,Tomorrow,1n99s09TM651WSXOMxyoHF,61,0.00941,0.311,261575,0.887,0.0,C#,0.281,-2.578,Minor,0.277,175.483,3/4,0.627,False
Pop,BTS,N.O,1hehPTlSVIhHEvCkVoe4HX,62,0.0389,0.594,209752,0.914,0.0,B,0.457,-3.764,Minor,0.167,146.885,4/4,0.571,False
