,Episode,Date,Artist,Song,Points,Award Show
33,767,"August 25, 2022",Blackpink,"""Pink Venom""","7,951",M Countdown
34,768,"September 1, 2022",Blackpink,"""Pink Venom""","9,071",M Countdown
35,769,"September 8, 2022",Blackpink,"""Pink Venom""","9,033",M Countdown
36,770,"September 15, 2022",Ive,"""After Like""",—,M Countdown
37,771,"September 22, 2022",Blackpink,"""Shut Down""","9,316",M Countdown
38,772,"September 29, 2022",Blackpink,"""Shut Down""","8,377",M Countdown
39,773,"October 6, 2022",Blackpink,"""Shut Down""","9,468",M Countdown
40,774,"October 13, 2022",Stray Kids,"""Case 143""","7,658",M Countdown
41,775,"October 20, 2022",Stray Kids,"""Case 143""","10,756",M Countdown
42,776,"October 27, 2022",(G)I-dle,"""Nxde""",—,M Countdown
43,—,"November 3, 2022",No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,M Countdown
44,777,"November 10, 2022",Jin,"""The Astronaut""",—,M Countdown
45,—,"November 17, 2022",No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,M Countdown
46,—,"November 24, 2022",No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,M Countdown
47,—,"December 1, 2022",No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,M Countdown
48,—,"December 8, 2022",No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,M Countdown
49,—,"December 15, 2022",No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,M Countdown
50,—,"December 22, 2022",No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,M Countdown
51,778,"December 29, 2022",NCT Dream,"""Candy""","6,323",M Countdown
52,—,"January 5, 2023",No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,M Countdown
53,779,"January 12, 2023",NewJeans,"""OMG""","7,834",M Countdown
54,780,"January 19, 2023",Taeyang,"""Vibe""","5,737",M Countdown
55,781,"January 26, 2023",NewJeans,"""OMG""",—,M Countdown
56,782,"February 2, 2023",TXT,"""Sugar Rush Ride""","6,870",M Countdown
57,783,"February 9, 2023",TXT,"""Sugar Rush Ride""","9,489",M Countdown
58,784,"February 16, 2023",BSS,"""Fighting""","10,669",M Countdown
59,785,"February 23, 2023",BSS,"""Fighting""","8,894",M Countdown
60,786,"March 2, 2023",BSS,"""Fighting""","8,265",M Countdown
61,787,"March 9, 2023",J-Hope&J. Cole,"""On the Street""","8,500",M Countdown
62,788,"March 16, 2023",J-Hope&J. Cole,"""On the Street""","7,767",M Countdown
63,789,"March 23, 2023",Jimin,"""Set Me Free Pt. 2""","8,414",M Countdown
64,790,"March 30, 2023",Jimin,"""Like Crazy""","9,855",M Countdown
65,791,"April 6, 2023",Jimin,"""Like Crazy""",—,M Countdown
66,792,"April 13, 2023",Jisoo,"""Flower""","8,890",M Countdown
