,Episode,Date,Artist,Song,Points,Award Show,Search Query,Song ID
77,"1,200","September 17, 2023",AKMU,Love Lee,"6,337",Inkigayo,track:Love Lee artist:AKMU year:2000-2023,1qosh64U6CR5ki1g1Rf2dZ
78,"1,201","October 15, 2023",AKMU,Love Lee,"6,330",Inkigayo,track:Love Lee artist:AKMU year:2000-2023,1qosh64U6CR5ki1g1Rf2dZ
79,"1,202","October 22, 2023",AKMU,Love Lee,"6,278",Inkigayo,track:Love Lee artist:AKMU year:2000-2023,1qosh64U6CR5ki1g1Rf2dZ
80,"1,203","October 29, 2023",Ive,Either Way,"6,433",Inkigayo,track:Either Way artist:Ive year:2000-2023,0hfgdZKMICdgW84SUk3jfT
81,"1,204","November 5, 2023",Seventeen,God of Music,"8,290",Inkigayo,track:God of Music artist:Seventeen year:2000-2023,4MTNimMDRyFZv37Thcktwa
82,"1,205","November 12, 2023",Ive,Baddie,"6,292",Inkigayo,track:Baddie artist:Ive year:2000-2023,0XrDEv1Xe0ZQsS6AmPn04c
83,"1,206","November 19, 2023",Ive,Baddie,"6,089",Inkigayo,track:Baddie artist:Ive year:2000-2023,0XrDEv1Xe0ZQsS6AmPn04c
84,"1,207","November 26, 2023",Aespa,Drama,"6,719",Inkigayo,track:Drama artist:Aespa year:2000-2023,5XWlyfo0kZ8LF7VSyfS4Ew
85,"1,208","December 3, 2023",Ive,Baddie,"5,731",Inkigayo,track:Baddie artist:Ive year:2000-2023,0XrDEv1Xe0ZQsS6AmPn04c
86,"1,209","December 10, 2023",Taeyeon,To. X,"5,675",Inkigayo,track:To. X artist:Taeyeon year:2000-2023,2gyCwrOcC6JBoaJ8JGJ7T8
87,"1,210","January 7, 2024",Aespa,Drama,"7,605",Inkigayo,track:Drama artist:Aespa year:2000-2024,5XWlyfo0kZ8LF7VSyfS4Ew
88,"1,211","January 14, 2024",Aespa,Drama,"7,330",Inkigayo,track:Drama artist:Aespa year:2000-2024,5XWlyfo0kZ8LF7VSyfS4Ew
89,"1,212","January 21, 2024",Riize,Love 119,"6,167",Inkigayo,track:Love 119 artist:Riize year:2000-2024,0lUtQTBt2ydznYzuAeYFrZ
90,"1,213","January 28, 2024",Nmixx,Dash,"5,901",Inkigayo,track:Dash artist:Nmixx year:2000-2024,1mXIJLlpAEG3Vab5b21QIM
91,"1,214","February 4, 2024",IU,Love Wins All,"8,808 ",Inkigayo,track:Love Wins All artist:IU year:2000-2024,0djkJ3iAARXRCbfbwwVc3o
92,"1,215","February 18, 2024",IU,Love Wins All,"8,596",Inkigayo,track:Love Wins All artist:IU year:2000-2024,0djkJ3iAARXRCbfbwwVc3o
93,"1,216","February 25, 2024",IU,Love Wins All,"7,692",Inkigayo,track:Love Wins All artist:IU year:2000-2024,0djkJ3iAARXRCbfbwwVc3o
94,"1,217","March 3, 2024",Le Sserafim,Easy,"7,400",Inkigayo,track:Easy artist:Le Sserafim year:2000-2024,2O4Bb2WCkjlTPO827OnBMI
95,"1,218","March 10, 2024",Le Sserafim,Easy,"7,148",Inkigayo,track:Easy artist:Le Sserafim year:2000-2024,2O4Bb2WCkjlTPO827OnBMI
96,"1,219","March 17, 2024",Bibi,Bam Yang Gang,"6,729",Inkigayo,track:Bam Yang Gang artist:Bibi year:2000-2024,5juCu4WFTFRZ2XilopAMTy
97,"1,220","March 24, 2024",TWS,Plot Twist,"6,414",Inkigayo,track:Plot Twist artist:TWS year:2000-2024,0aZG8KWrpRnsGL0loUkfSj
98,"1,221","March 31, 2024",(G)I-dle,Fate,"6,119",Inkigayo,track:Fate artist:(G)I-dle year:2000-2024,5kt0nWRnFWEeBUyLWSYnkd
99,"1,222","April 7, 2024",(G)I-dle,Fate,"6,104",Inkigayo,track:Fate artist:(G)I-dle year:2000-2024,5kt0nWRnFWEeBUyLWSYnkd
100,"1,223","April 14, 2024",(G)I-dle,Fate,"6,056",Inkigayo,track:Fate artist:(G)I-dle year:2000-2024,5kt0nWRnFWEeBUyLWSYnkd
101,"1,224","April 21, 2024",Illit,Magnetic,"7,545",Inkigayo,track:Magnetic artist:Illit year:2000-2024,1aKvZDoLGkNMxoRYgkckZG
102,"1,225","April 28, 2024",Illit,Magnetic,"6,306",Inkigayo,track:Magnetic artist:Illit year:2000-2024,1aKvZDoLGkNMxoRYgkckZG
103,"1,226","May 5, 2024",Illit,Magnetic,"6,640",Inkigayo,track:Magnetic artist:Illit year:2000-2024,1aKvZDoLGkNMxoRYgkckZG
104,"1,227","May 12, 2024",Zico,Spot!,"6,861",Inkigayo,track:Spot! artist:Zico year:2000-2024,1SS0WlKhJewviwEDZ6dWj0
105,"1,228","May 19, 2024",Zico,Spot!,"7,968",Inkigayo,track:Spot! artist:Zico year:2000-2024,1SS0WlKhJewviwEDZ6dWj0
106,"1,229","May 26, 2024",Aespa,Supernova,"6,807",Inkigayo,track:Supernova artist:Aespa year:2000-2024,2VdSktBqFfkW7y6q5Ik4Z4
107,"1,230","June 16, 2024",Aespa,Supernova,"8,411",Inkigayo,track:Supernova artist:Aespa year:2000-2024,2VdSktBqFfkW7y6q5Ik4Z4
108,"1,231","June 23, 2024",Aespa,Supernova,"7,007",Inkigayo,track:Supernova artist:Aespa year:2000-2024,2VdSktBqFfkW7y6q5Ik4Z4
109,"1,232","June 30, 2024",Riize,Boom Boom Bass,"6,353",Inkigayo,track:Boom Boom Bass artist:Riize year:2000-2024,6Ixrp3yXfzv5brZXmZuXXN
110,"1,233","July 7, 2024",Lee Young-ji,Small Girl,"7,227",Inkigayo,track:Small Girl artist:Lee Young-ji year:2000-2024,1AtFSBJibfaqfiOByQCwZ5
111,"1,234","July 14, 2024",Lee Young-ji,Small Girl,"6,150",Inkigayo,track:Small Girl artist:Lee Young-ji year:2000-2024,1AtFSBJibfaqfiOByQCwZ5
112,"1,235","August 11, 2024",(G)I-dle,Klaxon,"6,883",Inkigayo,track:Klaxon artist:(G)I-dle year:2000-2024,32Zr1pnXLBLzj34RynRYpz
113,"1,236","August 18, 2024",(G)I-dle,Klaxon,"6,862",Inkigayo,track:Klaxon artist:(G)I-dle year:2000-2024,32Zr1pnXLBLzj34RynRYpz
114,"1,237","August 25, 2024",(G)I-dle,Klaxon,"6,737",Inkigayo,track:Klaxon artist:(G)I-dle year:2000-2024,32Zr1pnXLBLzj34RynRYpz
115,"1,238","September 1, 2024",Nmixx,See That?,"6,591",Inkigayo,track:See That? artist:Nmixx year:2000-2024,2Oc0j4x7HkDRVZq8JsgACT
116,"1,239","September 8, 2024",Zerobaseone,Good So Bad,"5,739",Inkigayo,track:Good So Bad artist:Zerobaseone year:2000-2024,28HVi8XtrlKauIVUxSlc6q
117,"1,240","September 22, 2024",BoyNextDoor,Nice Guy,"6,371",Inkigayo,track:Nice Guy artist:BoyNextDoor year:2000-2024,6pqyZNnLKyJKtrlf42FQoq
118,"1,241","September 29, 2024",Day6,Happy,"6,380",Inkigayo,track:Happy artist:Day6 year:2000-2024,5R5NMy7zc7QPCfdvy8dvCQ
119,"1,242","October 6, 2024",Day6,Happy,"4,428",Inkigayo,track:Happy artist:Day6 year:2000-2024,5R5NMy7zc7QPCfdvy8dvCQ
120,"1,243","October 27, 2024",Rosé&Bruno Mars,Apt.,"5,198",Inkigayo,track:Apt. artist:Rosé&Bruno Mars year:2000-2024,0JLcfQTtEf3Whtj59OhS0f
121,"1,244","November 3, 2024",Rosé&Bruno Mars,Apt.,"7,460",Inkigayo,track:Apt. artist:Rosé&Bruno Mars year:2000-2024,0JLcfQTtEf3Whtj59OhS0f
122,"1,245","November 10, 2024",Rosé&Bruno Mars,Apt.,"7,407",Inkigayo,track:Apt. artist:Rosé&Bruno Mars year:2000-2024,0JLcfQTtEf3Whtj59OhS0f
123,"1,246","November 17, 2024",Aespa,Whiplash,"5,705",Inkigayo,track:Whiplash artist:Aespa year:2000-2024,6uPnrBgweGOcwjFL4ItAvV
124,"1,247","November 24, 2024",Aespa,Whiplash,"5,690",Inkigayo,track:Whiplash artist:Aespa year:2000-2024,6uPnrBgweGOcwjFL4ItAvV
125,"1,248","December 1, 2024",Aespa,Whiplash,"5,872",Inkigayo,track:Whiplash artist:Aespa year:2000-2024,6uPnrBgweGOcwjFL4ItAvV
126,"1,249","December 15, 2024",G-Dragon,Home Sweet Home,"5,984",Inkigayo,track:Home Sweet Home artist:G-Dragon year:2000-2024,04jt3FIji2EJUhun0UrNqR
127,"1,250","January 5, 2025",G-Dragon,Home Sweet Home,"5,807",Inkigayo,track:Home Sweet Home artist:G-Dragon year:2000-2025,04jt3FIji2EJUhun0UrNqR
128,"1,251","January 12, 2025",G-Dragon,Home Sweet Home,"5,418",Inkigayo,track:Home Sweet Home artist:G-Dragon year:2000-2025,04jt3FIji2EJUhun0UrNqR
129,"1,252","January 19, 2025",BoyNextDoor,"If I Say, I Love You","5,869",Inkigayo,"track:If I Say, I Love You artist:BoyNextDoor year:2000-2025",7GOIrZTegzVty8mhNhRuA0
130,"1,253","January 26, 2025",Ive,Rebel Heart,"6,580",Inkigayo,track:Rebel Heart artist:Ive year:2000-2025,2JoRBbFJyKytt4y3D0HxQu
131,735,"January 13, 2022",Kep1er,Wa Da Da,"6,500",M Countdown,track:Wa Da Da artist:Kep1er year:2000-2022,4gdiCHNbwugojBqr5Jt3pq
132,736,"January 20, 2022",Kep1er,Wa Da Da,"6,569",M Countdown,track:Wa Da Da artist:Kep1er year:2000-2022,4gdiCHNbwugojBqr5Jt3pq
133,737,"January 27, 2022",Wheein,Make Me Happy,"7,220",M Countdown,track:Make Me Happy artist:Wheein year:2000-2022,6ry670EtSALRt1yd0W0wca
134,738,"February 3, 2022",Got the Beat,Step Back,—,M Countdown,track:Step Back artist:Got the Beat year:2000-2022,3LCwQoTrdQgHsGJE5gGVqx
135,739,"February 10, 2022",Yena,Smiley,"8,097",M Countdown,track:Smiley artist:Yena year:2000-2022,4zCIxSnVWpGNghERX4uWZF
136,740,"February 17, 2022",Viviz,Bop Bop!,"6,564",M Countdown,track:Bop Bop! artist:Viviz year:2000-2022,2AwqzgFzSptWquSdz5qCPX
137,741,"February 24, 2022",Taeyeon,INVU,"9,676",M Countdown,track:INVU artist:Taeyeon year:2000-2022,7rXcCpIAoOUCydkVDMcoPV
138,742,"March 3, 2022",BtoB,The Song,"8,976",M Countdown,track:The Song artist:BtoB year:2000-2022,6bqbFluyEgXV0hkLd9duMc
139,743,"March 10, 2022",STAYC,Run2U,—,M Countdown,track:Run2U artist:STAYC year:2000-2022,3gFcGnU4kTdMYLXDjH1TK8
140,744,"March 17, 2022",STAYC,Run2U,"6,569",M Countdown,track:Run2U artist:STAYC year:2000-2022,3gFcGnU4kTdMYLXDjH1TK8
141,745,"March 24, 2022",(G)I-dle,Tomboy,"8,259",M Countdown,track:Tomboy artist:(G)I-dle year:2000-2022,6WYsZJDfUOftGVji74yYSU
142,746,"March 31, 2022",(G)I-dle,Tomboy,"7,688",M Countdown,track:Tomboy artist:(G)I-dle year:2000-2022,6WYsZJDfUOftGVji74yYSU
143,747,"April 7, 2022",NCT Dream,Glitch Mode,"7,536",M Countdown,track:Glitch Mode artist:NCT Dream year:2000-2022,5b1PngLlxc7hj3fJXrE2Zm
144,748,"April 14, 2022",Big Bang,Still Life,"8,181",M Countdown,track:Still Life artist:Big Bang year:2000-2022,3TSLqZssCoCdDlMhCJ08XW
145,749,"April 21, 2022",Big Bang,Still Life,"8,216",M Countdown,track:Still Life artist:Big Bang year:2000-2022,3TSLqZssCoCdDlMhCJ08XW
146,750,"April 28, 2022",Big Bang,Still Life,"8,256",M Countdown,track:Still Life artist:Big Bang year:2000-2022,3TSLqZssCoCdDlMhCJ08XW
147,751,"May 5, 2022",Ive,Love Dive,"7,520",M Countdown,track:Love Dive artist:Ive year:2000-2022,0Q5VnK2DYzRyfqQRJuUtvi
148,752,"May 12, 2022",Lim Young-woong,If We Ever Meet Again,"8,896",M Countdown,track:If We Ever Meet Again artist:Lim Young-woong year:2000-2022,2RLdkXSaiQjRbey5pvP8Kt
149,753,"May 19, 2022",Psy,That That,—,M Countdown,track:That That artist:Psy year:2000-2022,7GNRUsU3M4XNDDB9xle5Dz
150,754,"May 26, 2022",Astro,Candy Sugar Pop,"8,434",M Countdown,track:Candy Sugar Pop artist:Astro year:2000-2022,767gRjedAWnbUer6ARRS8d
151,755,"June 2, 2022",Seventeen,Hot,"7,718",M Countdown,track:Hot artist:Seventeen year:2000-2022,6I2tqFhk8tq69iursYxuxd
152,756,"June 9, 2022",NCT Dream,Beatbox,—,M Countdown,track:Beatbox artist:NCT Dream year:2000-2022,0CatzXH85XWyBqqdB6qPMB
153,757,"June 16, 2022",BTS,Yet to Come,"10,333",M Countdown,track:Yet to Come artist:BTS year:2000-2022,10SRMwb9EuVS1K9rYsBfHQ
154,758,"June 23, 2022",BTS,Yet to Come,"11,000",M Countdown,track:Yet to Come artist:BTS year:2000-2022,10SRMwb9EuVS1K9rYsBfHQ
155,759,"June 30, 2022",BTS,Yet to Come,"9,037",M Countdown,track:Yet to Come artist:BTS year:2000-2022,10SRMwb9EuVS1K9rYsBfHQ
156,760,"July 7, 2022",Fromis 9,Stay This Way,"9,262",M Countdown,track:Stay This Way artist:Fromis 9 year:2000-2022,3pqgVtpnQbBAZoWT4AEm1B
157,761,"July 14, 2022",Nayeon,Pop!,"7,266",M Countdown,track:Pop! artist:Nayeon year:2000-2022,3qnOJbyOsX43KmlGYytEFL
158,762,"July 21, 2022",Aespa,Girls,"7,741",M Countdown,track:Girls artist:Aespa year:2000-2022,07fqC2Puj13frv9iYtlcri
159,763,"July 28, 2022",Seventeen,_World,"10,633",M Countdown,track:_World artist:Seventeen year:2000-2022,3QwiidVHfeE9y5jl4n2MTC
